"","X1","Squirrel","date","ODBA","Feed","Forage","NestMove","notmoving","Sleep","Travel","Deploy"
"153",5,"n13",2015-05-07,469091.7,27149,23639,1827,14064,16005,3716,"April 2015 Week 2"
"154",6,"n13",2015-05-08,539165.11,25921,26990,2605,10972,15104,4808,"April 2015 Week 2"
"155",7,"n13",2015-05-09,545045.04,23684,26352,3985,9261,18014,5104,"April 2015 Week 2"
"156",1,"n212",2015-05-03,363005.43,25816,16601,7504,7557,27132,1790,"April 2015 Week 2"
"157",2,"n212",2015-05-04,374491.53,25400,16876,8123,6240,27492,2269,"April 2015 Week 2"
"158",3,"n212",2015-05-05,374600.37,28411,18403,4758,8178,24542,2108,"April 2015 Week 2"
"159",4,"n212",2015-05-06,407961.39,27690,20722,4248,9020,22017,2703,"April 2015 Week 2"
"160",5,"n212",2015-05-07,339031.2,23949,16235,4899,15931,23466,1920,"April 2015 Week 2"
"161",6,"n212",2015-05-08,402526.59,28161,21247,2526,13799,18173,2494,"April 2015 Week 2"
"162",7,"n212",2015-05-09,381504.15,27123,19750,4225,17112,15971,2219,"April 2015 Week 2"
"163",1,"n26",2015-05-03,311261.64,21207,13885,2217,28511,18399,2181,"April 2015 Week 2"
"164",2,"n26",2015-05-04,311386.4,26066,13530,2183,23199,19575,1847,"April 2015 Week 2"
"165",3,"n26",2015-05-05,300203.88,28502,12633,1198,29018,13375,1674,"April 2015 Week 2"
"166",4,"n26",2015-05-06,299308.32,26064,13648,1328,29010,14728,1622,"April 2015 Week 2"
"167",5,"n26",2015-05-07,326331.02,25050,15933,1320,27133,14992,1972,"April 2015 Week 2"
"168",6,"n26",2015-05-08,343985.05,27659,15876,1482,26571,12496,2316,"April 2015 Week 2"
"169",7,"n26",2015-05-09,369576.23,28522,17549,1678,25526,10659,2466,"April 2015 Week 2"
"170",1,"n312",2015-05-03,374029.6,25487,18865,5022,6422,28454,2150,"April 2015 Week 2"
"171",2,"n312",2015-05-04,375461.46,29115,19074,3082,5768,27018,2343,"April 2015 Week 2"
"172",3,"n312",2015-05-05,422978.57,29288,22195,4041,3735,24277,2864,"April 2015 Week 2"
"173",4,"n312",2015-05-06,412143.4,28847,22072,4100,2767,26090,2524,"April 2015 Week 2"
"174",5,"n312",2015-05-07,413288.2,28205,19597,3790,10302,20946,3560,"April 2015 Week 2"
"175",6,"n312",2015-05-08,433644.14,29569,21990,2104,12722,16489,3526,"April 2015 Week 2"
"176",7,"n312",2015-05-09,408490.15,31391,19257,3506,9388,19988,2870,"April 2015 Week 2"
"177",1,"n712",2015-05-04,416952.36,16358,22014,2913,3211,36637,5267,"April 2015 Week 2"
"178",2,"n712",2015-05-05,440918.78,17628,22355,3326,3045,34174,5872,"April 2015 Week 2"
"179",3,"n712",2015-05-06,512510.45,17882,25009,2578,2913,30489,7529,"April 2015 Week 2"
"180",4,"n712",2015-05-07,445412.66,17087,22630,3966,4539,32691,5487,"April 2015 Week 2"
"181",5,"n712",2015-05-08,581405.86,16630,28213,2211,5149,25239,8958,"April 2015 Week 2"
"182",6,"n712",2015-05-09,515590.39,17676,25238,2340,11708,21900,7538,"April 2015 Week 2"
"183",1,"n76",2015-05-04,189396.46,15750,10620,2200,35698,21722,410,"April 2015 Week 2"
"184",2,"n76",2015-05-05,192962.67,15776,9753,4273,19078,37078,442,"April 2015 Week 2"
"185",3,"n76",2015-05-06,210083.01,16234,12006,2999,19828,34760,573,"April 2015 Week 2"
"186",4,"n76",2015-05-07,306634.64,17935,18593,3029,22366,22960,1517,"April 2015 Week 2"
"187",5,"n76",2015-05-08,333247.74,17258,20085,2817,14060,30034,2146,"April 2015 Week 2"
"188",6,"n76",2015-05-09,260321.27,16879,15623,2612,22877,27179,1230,"April 2015 Week 2"
"189",1,"O2",2015-05-03,391839.28,18850,23078,2040,12155,28012,2265,"April 2015 Week 2"
"190",2,"O2",2015-05-04,455691,17262,25197,1865,8760,29086,4230,"April 2015 Week 2"
"191",3,"O2",2015-05-05,447793.29,18428,26922,2098,6116,29750,3086,"April 2015 Week 2"
"192",4,"O2",2015-05-06,454325.05,17966,26521,1990,8862,27653,3408,"April 2015 Week 2"
"193",5,"O2",2015-05-07,463685.25,18814,27966,1736,7194,27275,3415,"April 2015 Week 2"
"194",6,"O2",2015-05-08,511511.57,17776,30638,1628,7028,24933,4397,"April 2015 Week 2"
"195",7,"O2",2015-05-09,452722.88,18705,27664,1353,13689,22045,2944,"April 2015 Week 2"
"196",1,"O6",2015-05-03,418546.89,17280,24019,2997,5893,33504,2707,"April 2015 Week 2"
"197",2,"O6",2015-05-04,402885.06,19711,23328,2938,5169,32820,2434,"April 2015 Week 2"
"198",3,"O6",2015-05-05,356496.45,18913,19906,2812,8188,34619,1962,"April 2015 Week 2"
"199",4,"O6",2015-05-06,375429.33,18623,20452,3807,6577,34833,2108,"April 2015 Week 2"
"200",5,"O6",2015-05-07,401129.02,18403,22723,3713,3586,35437,2538,"April 2015 Week 2"
"201",6,"O6",2015-05-08,458300.27,20568,26261,3676,4837,28103,2955,"April 2015 Week 2"
"202",7,"O6",2015-05-09,397826.88,18669,20765,4671,6099,33419,2777,"April 2015 Week 2"
"203",1,"D15",2016-08-20,385101.42,6009,24059,3184,6188,43516,3444,"August 2016"
"204",2,"D15",2016-08-21,345708.5,7059,21303,2501,19848,32727,2962,"August 2016"
"205",3,"D15",2016-08-22,311677.76,8764,19820,2702,17860,35012,2242,"August 2016"
"206",4,"D15",2016-08-23,355878.76,8743,22449,2784,25078,24714,2632,"August 2016"
"207",5,"D15",2016-08-24,369637.11,7855,21048,5693,9151,39717,2936,"August 2016"
"208",6,"D15",2016-08-25,365816.6,2133,12803,19736,955,48793,1980,"August 2016"
"209",7,"D15",2016-08-26,403500.16,7722,23344,4303,6381,40683,3967,"August 2016"
"210",8,"D15",2016-08-27,409583.91,8783,25247,3509,13544,31793,3524,"August 2016"
"211",9,"D15",2016-08-28,382791.31,7072,22080,5602,5638,42680,3328,"August 2016"
"212",10,"D15",2016-08-29,392933.26,8129,23163,4595,2643,44267,3603,"August 2016"
"213",11,"D15",2016-08-30,403337.67,9110,23795,5258,4693,40116,3428,"August 2016"
"214",12,"D15",2016-08-31,345819.75,7565,19946,4787,3437,47741,2924,"August 2016"
"215",13,"D15",2016-09-01,370906.66,7899,22143,4249,4939,44127,3043,"August 2016"
"216",14,"D15",2016-09-02,332227.59,7401,19421,4631,7496,44859,2592,"August 2016"
"217",15,"D15",2016-09-03,368691.39,8578,22017,5023,5258,42763,2761,"August 2016"
"218",16,"D15",2016-09-04,324959.05,10415,20081,3392,10493,39970,2049,"August 2016"
"219",17,"D15",2016-09-05,344760.54,10733,21671,3502,8680,39484,2330,"August 2016"
"220",18,"D15",2016-09-06,347031.1,11396,21892,2498,7208,40802,2604,"August 2016"
"221",1,"E4",2016-08-20,395917.5,5265,24002,8916,572,46437,1208,"August 2016"
"222",2,"E4",2016-08-21,391840.41,9017,24843,5770,7677,37836,1257,"August 2016"
"223",3,"E4",2016-08-22,350670.39,10749,22833,3617,12470,35353,1378,"August 2016"
"224",4,"E4",2016-08-23,322140.93,8322,19879,6555,6263,44178,1203,"August 2016"
"225",5,"E4",2016-08-24,405319.78,8763,26375,4416,2169,42739,1938,"August 2016"
"226",6,"E4",2016-08-25,409240.34,10085,28538,3869,3501,38877,1530,"August 2016"
"227",7,"E4",2016-08-26,456604.42,8314,30958,5453,1971,37943,1761,"August 2016"
"228",8,"E4",2016-08-27,450624.11,7523,29475,5891,1486,40188,1837,"August 2016"
"229",9,"E4",2016-08-28,450533.11,7119,28759,6249,3013,39101,2159,"August 2016"
"230",10,"E4",2016-08-29,476443.47,9883,30989,5442,5040,32757,2289,"August 2016"
"231",11,"E4",2016-08-30,374041.25,9719,21969,6602,2975,43599,1536,"August 2016"
"232",12,"E4",2016-08-31,309588.73,6231,16370,6874,3363,51874,1688,"August 2016"
"233",13,"E4",2016-09-01,354183.17,10293,20996,6450,4443,42599,1619,"August 2016"
"234",14,"E4",2016-09-02,323224.09,8168,18060,8538,2577,47820,1237,"August 2016"
"235",15,"E4",2016-09-03,358771.95,10762,22587,3564,14290,33676,1521,"August 2016"
"236",16,"E4",2016-09-04,339385.5,9339,18186,7704,2644,46931,1596,"August 2016"
"237",17,"E4",2016-09-05,426122.02,10304,24942,8124,4668,36420,1942,"August 2016"
"238",1,"E9",2016-08-20,250748.46,8148,13691,7439,5117,50846,1159,"August 2016"
"239",2,"E9",2016-08-21,305780.65,9202,18313,5323,4151,47522,1889,"August 2016"
"240",3,"E9",2016-08-22,349438.8,10573,20939,4931,4939,42411,2607,"August 2016"
"241",4,"E9",2016-08-23,359753.28,10116,21353,5785,5569,41187,2390,"August 2016"
"242",5,"E9",2016-08-24,365006.92,9454,22416,5341,7990,38557,2642,"August 2016"
"243",6,"E9",2016-08-25,414948.52,10555,23373,6631,5450,37137,3254,"August 2016"
"244",7,"E9",2016-08-26,450316.32,8159,27979,6272,3138,37414,3438,"August 2016"
"245",8,"E9",2016-08-27,389423.27,10422,24596,5394,2342,41070,2576,"August 2016"
"246",9,"E9",2016-08-28,340472.24,6827,19618,5834,3426,48357,2338,"August 2016"
"247",10,"E9",2016-08-29,287855.35,7777,14421,6613,6426,49191,1972,"August 2016"
"248",11,"E9",2016-08-30,346172.69,10148,17679,5569,13494,36754,2756,"August 2016"
"249",12,"E9",2016-08-31,314964.52,11038,16127,6097,14095,37072,1971,"August 2016"
"250",13,"E9",2016-09-01,326887.61,9476,18051,6625,12165,37913,2170,"August 2016"
"251",14,"E9",2016-09-02,395558.32,8135,21016,5131,10859,37525,3734,"August 2016"
"252",15,"E9",2016-09-03,319047.66,8580,15413,7739,7802,44377,2489,"August 2016"
"253",16,"E9",2016-09-04,367116.77,8177,18675,6150,9488,41008,2902,"August 2016"
"254",17,"E9",2016-09-05,366329.19,12047,19704,7143,13254,32094,2158,"August 2016"
"255",1,"G14",2016-08-20,465021.5,10318,28163,1736,25863,16174,4146,"August 2016"
"256",2,"G14",2016-08-21,478570.49,10388,29775,630,30207,10851,4549,"August 2016"
"257",3,"G14",2016-08-22,446928.53,11473,28714,451,32840,9131,3791,"August 2016"
"258",4,"G14",2016-08-23,430727.29,11387,27193,1649,28531,14243,3397,"August 2016"
"259",5,"G14",2016-08-24,432711.48,9961,26999,958,30687,14034,3761,"August 2016"
"260",6,"G14",2016-08-25,427375.66,11622,28553,1000,28438,13643,3144,"August 2016"
"261",7,"G14",2016-08-26,531980.52,11141,34368,841,22975,11969,5106,"August 2016"
"262",8,"G14",2016-08-27,505715.36,14255,32036,564,26790,8436,4319,"August 2016"
"263",9,"G14",2016-08-28,438469.52,12034,27394,855,24640,18002,3475,"August 2016"
"264",10,"G14",2016-08-29,405478.75,14342,24597,1036,29577,13604,3244,"August 2016"
"265",11,"G14",2016-08-30,303098.38,14647,17501,1252,35175,15750,2075,"August 2016"
"266",12,"G14",2016-08-31,390991.39,13959,23505,1262,29960,14728,2986,"August 2016"
"267",13,"G14",2016-09-01,391092.72,13311,23345,747,33876,11614,3507,"August 2016"
"268",14,"G14",2016-09-02,419207.65,11167,26871,1084,24012,19735,3531,"August 2016"
"269",15,"G14",2016-09-03,280034.24,11699,16254,1142,35913,19441,1951,"August 2016"
"270",16,"G14",2016-09-04,386583.55,14951,23527,2026,30092,12946,2858,"August 2016"
"271",1,"G8",2016-08-20,474992.47,6425,27485,6702,1973,39646,4169,"August 2016"
"272",2,"G8",2016-08-21,437543.14,8445,25540,5098,5764,38044,3509,"August 2016"
"273",3,"G8",2016-08-22,444044.89,9297,27105,4805,7914,33958,3321,"August 2016"
"274",4,"G8",2016-08-23,501261.91,7939,29394,5302,2093,37183,4489,"August 2016"
